window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
24,efficientnet_b4,5,False,high,strict_0.10,0.35,0.35,0.24999999999999997,3,0.0,0.0,0.390625,0.550847,0.627119,11.650476,0.469388,0.265152,0.242424,11.846756
24,f3net,6,False,high,strict_0.10,0.46,0.46,0.36,3,0.0,0.0,0.631579,0.59322,0.644068,5.312548,0.532258,0.454545,0.484848,8.276939
25,videomae,1,True,low,strict_0.10,0.55,0.55,0.45000000000000007,3,0.0,0.0,0.460177,0.162712,0.440678,10.049619,0.593103,0.463158,0.684211,5.582841
25,i3d,2,False,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.470588,0.244068,0.508475,10.739655,0.619048,0.842105,0.929825,2.982659
25,effort_clip_l14,3,False,low,strict_0.10,0.12,0.12,0.01999999999999999,3,0.0,0.0,0.427184,0.325424,0.338983,9.872131,0.417391,0.378947,0.491228,11.046829
25,xception_df40,4,False,low,strict_0.10,0.3,0.3,0.19999999999999998,3,0.1,0.041667,0.285714,0.366102,0.288136,13.806226,0.466667,0.126316,0.105263,11.997963
25,efficientnet_b4,5,False,low,strict_0.10,0.7,0.7,0.6,3,0.0,0.0,0.377358,0.488136,0.423729,11.965,0.644737,0.631579,0.701754,3.533622
25,f3net,6,False,high,strict_0.10,0.47,0.47,0.37,3,0.0,0.0,0.595745,0.650847,0.644068,5.785179,0.564885,0.547368,0.54386,7.907524
26,effort_clip_l14,1,True,high,strict_0.10,0.97,0.97,0.87,3,0.0,0.0,0.347826,0.17316,0.209235,12.297274,0.059701,0.044118,0.019118,17.773024
26,efficientnet_b4,2,False,high,strict_0.10,0.37,0.37,0.27,3,0.0,0.0,0.257426,0.17316,0.434343,14.966976,0.382979,0.220588,0.176471,13.119756
26,i3d,3,False,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.519231,0.21645,0.227994,10.183821,0.650888,0.661765,0.902941,2.803793
26,xception_df40,4,False,high,strict_0.10,0.89,0.89,0.79,2,0.0,0.0,0.336449,0.25974,0.453102,11.940762,0.372549,0.397059,0.327941,13.180866
26,videomae,5,False,low,strict_0.10,0.5,0.5,0.45,3,0.1,0.003333,0.507937,0.30303,0.546898,8.962905,0.62069,0.485294,0.652941,5.801122
26,f3net,6,False,high,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.542373,0.38961,0.396825,8.715405,0.53211,0.397059,0.252941,9.661061
27,effort_clip_l14,1,True,high,strict_0.10,0.99,0.99,0.94,2,0.0,0.0,0.215385,0.077071,0.052023,15.572607,0.072727,0.069565,0.066087,16.975195
27,videomae,2,False,low,strict_0.10,0.55,0.55,0.45000000000000007,3,0.1,0.01,0.485437,0.115607,0.385356,10.513536,0.358974,0.313043,0.714783,8.936195
27,i3d,3,False,low,strict_0.10,0.31,0.31,0.26,2,0.0,0.0,0.40678,0.192678,0.635838,10.29044,0.536913,0.521739,0.906087,2.950134
27,efficientnet_b4,4,False,low,strict_0.10,0.75,0.75,0.65,2,0.0,0.0,0.313253,0.192678,0.233141,14.106679,0.42,0.382609,0.485217,9.831598
27,xception_df40,5,False,low,strict_0.10,0.34,0.34,0.24000000000000002,3,0.0,0.0,0.115942,0.192678,0.146435,16.714786,0.34375,0.104348,0.078261,13.896159
27,f3net,6,False,high,strict_0.10,0.54,0.54,0.44000000000000006,2,0.0,0.0,0.638655,0.346821,0.450867,4.96381,0.601942,0.243478,0.351304,6.778634
28,i3d,1,True,low,strict_0.10,0.33,0.33,0.28,2,0.0,0.0,0.233333,0.038071,0.017766,16.261429,0.418605,0.188917,0.279597,11.528854
